SKU Pai,SKU Variação,Nome do Produto,Nome da Variação,Valor da Variação,Categoria (referência interna),Descrição do Produto,Marca,Preço (R$),Preço Original em Ienes (referência),Estoque,Peso(kg),Comprimento(cm),Largura(cm),Altura(cm),Dias de Preparação,Imagem de Capa,Imagem 2,Imagem 3,Imagem 4,Imagem 5,Imagem 6,Imagem 7,Imagem 8,Observações
JE-COS-0010,JE-COS-0010,ANESSA Perfect UV Sunscreen Skincare Milk ,,Padrão,Cosméticos,"Protetor solar facial e corporal com alta proteção UV e textura leve de rápida absorção. Sua fórmula resistente à água e ao suor ajuda a manter a pele protegida, hidratada e confortável durante todo o dia.  ✔ FPS 50+ PA++++ ✔ Alta resistência à água e ao suor ✔ Textura leve e acabamento suave ✔ Hidrata e protege a pele ✔ Ideal para uso diário e atividades ao ar livre  Proteção solar avançada para uma pele saudável e protegida todos os dias.",Sem Marca,240.29,7400,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781705748/nikkeybox/products/anessa-perfect-uv-sunscreen-mild-milk-sp-jzof/odqojrvp1cp71hvpwlye.webp","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781762351/nikkeybox/products/anessa-perfect-uv-sunscreen-mild-milk-sp-jzof/hhg85sy6hfnagqbaw3c4.jpg",,,,,,,
JE-COS-0011,JE-COS-0011,ANESSA Moisture UV Sunscreen Skincare Gel ,,Padrão,Cosméticos,"Protetor solar em gel com alta proteção UV e ação hidratante, ideal para manter a pele protegida e macia durante todo o dia. Possui textura leve, rápida absorção e acompanha mini Day Serum para potencializar os cuidados diários.  ✔ FPS 50+ PA++++ ✔ Hidratação e proteção em um só produto ✔ Textura leve e confortável ✔ Não deixa sensação pegajosa ✔ Acompanha mini Day Serum  Proteção solar diária com hidratação intensa para uma pele saudável e radiante.",Sem Marca,168.90,5200,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781762701/nikkeybox/products/anessa-perfect-uv-sunscreen-skincare-gel-eikm/oqnxt6r8b9nrp8qrzwvp.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781762704/nikkeybox/products/anessa-perfect-uv-sunscreen-skincare-gel-eikm/sgmlr5dm4cugvw1p7wmw.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781762705/nikkeybox/products/anessa-perfect-uv-sunscreen-skincare-gel-eikm/cxz4xfokd4nok0aspmzr.jpg",,,,,,
JE-DOC-0002,JE-DOC-0002,Baby Star Ramen Mini – Sabor Frango 30 Universidades ,,Padrão,Doces & Chás,"Diretamente do Japão, o famoso Baby Star Ramen transforma macarrão temperado em um snack irresistivelmente crocante! Com delicioso sabor de frango, é uma ótima opção para quem deseja experimentar um dos petiscos mais populares entre crianças e adultos japoneses.",Sem Marca,8.27,250,999,,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781705751/nikkeybox/products/baby-star-ramen-mini-sabor-frango-zog2/sbmcq2viksvueixamapk.webp",,,,,,,,
JE-COS-0012,JE-COS-0012,Beauty of Joseon Glow Deep Serum (Rice + Alpha-Arbutin),,Padrão,Cosméticos,"Sérum facial iluminador formulado com extrato de arroz e alfa-arbutina, desenvolvido para ajudar a uniformizar o tom da pele, promover hidratação e realçar a luminosidade natural do rosto.  ✔ Ajuda a iluminar e uniformizar a pele ✔ Hidratação leve e duradoura ✔ Textura suave e rápida absorção ✔ Ideal para todos os tipos de pele ✔ Uso diário na rotina de skincare  Pele mais radiante, hidratada e com aparência saudável todos os dias.",Sem Marca,162.41,5000,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781762995/nikkeybox/products/beauty-of-joseon-glow-deep-serum-rice-al-2h12/w8imbkt2dckzvzvpnkih.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781762997/nikkeybox/products/beauty-of-joseon-glow-deep-serum-rice-al-2h12/s8rv1jd0r27r9ldzl5te.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781762998/nikkeybox/products/beauty-of-joseon-glow-deep-serum-rice-al-2h12/j0hghnnmsg0rjdbgrjpg.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781762998/nikkeybox/products/beauty-of-joseon-glow-deep-serum-rice-al-2h12/vswdmpq0xx95pn291p88.jpg",,,,,
JE-COS-0013,JE-COS-0013,Beauty of Joseon Glow Serum (Propolis + Niacinamide),,Padrão,Cosméticos,"Sérum facial nutritivo formulado com própolis e niacinamida, que ajuda a hidratar, iluminar e melhorar a aparência da pele. Sua textura leve proporciona viço natural e deixa a pele com aspecto saudável e radiante.  ✔ Hidrata e nutre profundamente ✔ Ajuda a iluminar e revitalizar a pele ✔ Com própolis e niacinamida ✔ Textura leve e rápida absorção ✔ Ideal para todos os tipos de pele  Pele mais luminosa, hidratada e com brilho saudável todos os dias.",Sem Marca,162.41,5000,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781763304/nikkeybox/products/beauty-of-joseon-glow-propolis-serum-ser-xejn/boxbhng0nvlr2z8w2lpx.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781763307/nikkeybox/products/beauty-of-joseon-glow-propolis-serum-ser-xejn/lnxtsgitzjyatgads85m.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781763308/nikkeybox/products/beauty-of-joseon-glow-propolis-serum-ser-xejn/x6x3uuti5znw2fyr1gzm.jpg",,,,,,
JE-COS-0014,JE-COS-0014,Beauty of Joseon Pore Firming Serum (Red Bean PDRN™ + Peptide),,Padrão,Cosméticos,"Sérum facial desenvolvido para ajudar a melhorar a firmeza da pele e minimizar a aparência dos poros. Sua fórmula com Red Bean PDRN™ e Peptídeos proporciona hidratação, elasticidade e uma aparência mais uniforme.  ✔ Ajuda a melhorar a firmeza da pele ✔ Auxilia na redução da aparência dos poros ✔ Hidrata e promove elasticidade ✔ Textura leve e rápida absorção ✔ Ideal para uso diário  Pele mais firme, hidratada e com aparência renovada todos os dias.",Sem Marca,168.90,5200,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781763521/nikkeybox/products/beauty-of-joseon-pore-firming-serum-red--9ana/eodalkycglx3necelwsf.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781763523/nikkeybox/products/beauty-of-joseon-pore-firming-serum-red--9ana/ww83vqw1hskfuixbfarj.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781763524/nikkeybox/products/beauty-of-joseon-pore-firming-serum-red--9ana/ly5gpdfixkm0y6vqzf7r.jpg",,,,,,
JE-COS-0015,JE-COS-0015,Beauty of Joseon Revive Serum (Ginseng + Snail Mucin),,Padrão,Cosméticos,"Sérum facial nutritivo formulado com ginseng e mucina de caracol, ingredientes conhecidos por ajudar a revitalizar, hidratar e melhorar a elasticidade da pele. Deixa a pele mais macia, luminosa e com aparência saudável.  ✔ Hidratação profunda e duradoura ✔ Ajuda a melhorar a elasticidade da pele ✔ Com ginseng e mucina de caracol ✔ Textura leve e rápida absorção ✔ Ideal para todos os tipos de pele  Pele mais firme, hidratada e revitalizada todos os dias.",Sem Marca,168.90,5200,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781763817/nikkeybox/products/beauty-of-joseon-revive-serum-ginseng-sn-0vom/b8ezf6a9rh4newqslmw3.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781763818/nikkeybox/products/beauty-of-joseon-revive-serum-ginseng-sn-0vom/gbb1b7esa4fgjohqeul9.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781763819/nikkeybox/products/beauty-of-joseon-revive-serum-ginseng-sn-0vom/uv6mfsju7wiwllpt0cm8.jpg",,,,,,
JE-COS-0016,JE-COS-0016,Bioré Facial Wash Scrub,,Padrão,Cosméticos,"Espuma de limpeza facial com micropartículas esfoliantes que ajudam a remover impurezas, células mortas e excesso de oleosidade. Deixa a pele limpa, macia e com sensação refrescante após o uso.  ✔ Limpeza profunda dos poros ✔ Auxilia na remoção de células mortas ✔ Ajuda a controlar a oleosidade ✔ Sensação de frescor e maciez ✔ Ideal para uso diário  Pele mais limpa, suave e renovada todos os dias.",Sem Marca,32.61,1000,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781764086/nikkeybox/products/biore-facial-wash-scrub-esfoliante-facia-4mvf/x4u0owkgyqktut0a11xx.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781764087/nikkeybox/products/biore-facial-wash-scrub-esfoliante-facia-4mvf/jxphkfk62mqisze62zet.jpg",,,,,,,
JE-COS-0187,JE-COS-0187,Biore Kids Stamp,,Padrão,Cosméticos,"Proteja a pele delicada das crianças com praticidade! O Biore Kids Stamp UV é um protetor solar infantil inovador com aplicador em formato de carimbo, que facilita a aplicação uniforme e divertida, incentivando os pequenos a usarem protetor todos os dias.  Benefícios:  * ☀️ FPS 50+ PA+++: alta proteção contra os raios UVA e UVB. * 🧸 Aplicador em formato de carimbo, fácil de usar e ideal para crianças. * 🌿 Fórmula suave, desenvolvida para a pele sensível infantil. * 🚫 Livre de álcool, parabenos, silicones, corantes e absorvedores químicos de UV. * 🫧 Sai facilmente com água e sabonete, sem necessidade de demaquilante. * 👶 Indicado para uso diário em crianças.  Perfeito para passeios, escola, praia ou parque, garantindo proteção eficaz com uma aplicação rápida e prática.",Sem Marca,122.82,3780,999,0.500,,,,3,,,,,,,,,"IMAGEM LOCAL (base64) — precisa subir a foto manualmente, URL não disponível"
JE-COS-0017,JE-COS-0017,Bioré Perfect Oil Makeup Remover,,Padrão,Cosméticos,"Óleo de limpeza facial que remove maquiagem, protetor solar e impurezas de forma rápida e eficiente. Sua fórmula emulsiona facilmente com água, deixando a pele limpa, macia e sem sensação oleosa.  ✔ Remove maquiagem resistente ✔ Limpa profundamente os poros ✔ Pode ser usado com as mãos molhadas ✔ Não deixa sensação pegajosa ✔ Ideal para uso diário  Limpeza eficaz para uma pele fresca, macia e livre de resíduos.",Sem Marca,104.00,3200,999,1.000,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781764432/nikkeybox/products/biore-perfect-oil-makeup-remover-60ow/u2qb0hg4q2uk4osox94s.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781764433/nikkeybox/products/biore-perfect-oil-makeup-remover-60ow/wboijfwi6ulsgyfqeokz.jpg",,,,,,,
JE-COS-0018,JE-COS-0018,Bioré Pore Pack Black – Tiras Removedoras de Cravos para o Nariz,,Padrão,Cosméticos,"Tiras adesivas com carvão de bambu que ajudam a remover cravos, oleosidade e impurezas dos poros do nariz. Proporcionam sensação de limpeza profunda e pele mais suave após o uso.  ✔ Auxilia na remoção de cravos ✔ Limpeza profunda dos poros ✔ Com carvão de bambu absorvente ✔ Ajuda a reduzir a aparência dos poros ✔ Prático e fácil de usar  Nariz mais limpo, livre de impurezas e com sensação refrescante.",Sem Marca,65.06,2000,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781764681/nikkeybox/products/biore-pore-pack-black-adesivo-removedor--0fuy/vqiprikd1rcekm8zp1fq.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781764683/nikkeybox/products/biore-pore-pack-black-adesivo-removedor--0fuy/kpw1xfaw27eux81omy00.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781764684/nikkeybox/products/biore-pore-pack-black-adesivo-removedor--0fuy/gate3ipt1qcxwxrdexnq.jpg",,,,,,
JE-COS-0019,JE-COS-0019,Bioré Pore Pack – Tiras Removedoras de Cravos para o Nariz,,Padrão,Cosméticos,"Tiras adesivas que ajudam a remover cravos, oleosidade e impurezas acumuladas nos poros do nariz, proporcionando uma sensação de limpeza profunda e pele mais suave.  ✔ Remove cravos e impurezas dos poros ✔ Ajuda a reduzir a aparência dos poros ✔ Fácil e prático de usar ✔ Sensação de pele limpa e renovada ✔ Embalagem com 10 tiras  Ideal para manter a região do nariz mais limpa, lisa e com aparência saudável.",Sem Marca,65.06,2000,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781764992/nikkeybox/products/biore-pore-pack-tiras-removedoras-de-cra-w1vj/piccu84rolkunrfsygzd.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781764993/nikkeybox/products/biore-pore-pack-tiras-removedoras-de-cra-w1vj/hcddjjfmroiww2f8mltw.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781764994/nikkeybox/products/biore-pore-pack-tiras-removedoras-de-cra-w1vj/ilb2bqjbgyledw0ezmdl.jpg",,,,,,
JE-COS-0020,JE-COS-0020,Bioré Facial Wash Acne Care,,Padrão,Cosméticos,"Espuma de limpeza facial desenvolvida para peles com tendência à acne. Remove impurezas, excesso de oleosidade e ajuda a manter a pele limpa e equilibrada, contribuindo para a prevenção de cravos e espinhas.  ✔ Limpeza profunda e suave ✔ Auxilia na prevenção da acne ✔ Remove o excesso de oleosidade ✔ Deixa a pele fresca e confortável ✔ Ideal para uso diário  Pele mais limpa, equilibrada e com aparência saudável todos os dias.",Sem Marca,32.61,1000,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781765233/nikkeybox/products/biore-skin-care-facial-wash-acne-care-sa-hani/ivq7coag1zwnbbuwpouf.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781765235/nikkeybox/products/biore-skin-care-facial-wash-acne-care-sa-hani/hzppfasmnhajch1firb0.jpg",,,,,,,
JE-COS-0021,JE-COS-0021,Bioré The Face Deep Moist Facial Wash,,Padrão,Cosméticos,"Espuma de limpeza facial com textura cremosa e suave, desenvolvida para limpar a pele sem ressecar. Sua fórmula hidratante ajuda a manter a umidade natural da pele, deixando-a macia, fresca e confortável após o uso.  ✔ Limpeza suave e eficaz ✔ Ajuda a manter a hidratação da pele ✔ Espuma cremosa e delicada ✔ Ideal para peles secas e normais ✔ Uso diário  Pele limpa, hidratada e com toque macio todos os dias.",Sem Marca,58.57,1800,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781765772/nikkeybox/products/biore-the-face-deep-moist-facial-wash-es-jqwu/pobpwxzclrsuixx5magj.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781765774/nikkeybox/products/biore-the-face-deep-moist-facial-wash-es-jqwu/hjktrdcxy49g4xuxohvr.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781765775/nikkeybox/products/biore-the-face-deep-moist-facial-wash-es-jqwu/ai8uj8tfx8ibfeabe2xq.jpg",,,,,,
